campaign_id,name,channel,status,subject,preview_text,from_email,from_name,send_time,sent_at,created,updated,recipients,delivered,opens,unique_opens,clicks,unique_clicks,unsubscribes,bounces,spam_complaints,revenue_attributed,conversion_rate,open_rate,click_rate,unsubscribe_rate,bounce_rate
camp_51306505,Campaign 30 - Welcome,email,sent,Subject line 30,Preview text here,hello@vahdam.com,VAHDAM India,2023-07-14 20:00:20,2023-07-14 20:00:20,2023-07-11 20:00:20,2023-07-14 20:00:20,33269,32270,6307,5360,1460,1168,17,61,2,10276.02,0.0573,0.1896,0.0439,0.0011,0.0084
camp_76737194,Campaign 31 - Welcome,email,sent,Subject line 31,Preview text here,hello@vahdam.com,VAHDAM India,2023-05-22 07:41:03,2023-05-22 07:41:03,2023-05-19 07:41:03,2023-05-22 07:41:03,10679,10358,3385,2877,691,552,50,43,1,4250.32,0.0101,0.317,0.0647,0.0041,0.0097
camp_77244113,Campaign 32 - Flash Sale,sms,sent,Subject line 32,Preview text here,hello@vahdam.com,VAHDAM India,2025-01-16 16:24:45,2025-01-16 16:24:45,2025-01-13 16:24:45,2025-01-16 16:24:45,19963,19364,4151,3528,440,352,23,102,0,6182.03,0.0366,0.2079,0.022,0.002,0.0068
camp_16576959,Campaign 33 - Seasonal,email,sent,Subject line 33,Preview text here,hello@vahdam.com,VAHDAM India,2024-04-29 10:53:05,2024-04-29 10:53:05,2024-04-26 10:53:05,2024-04-29 10:53:05,24039,23317,8278,7036,1187,949,48,196,4,8201.19,0.0439,0.3444,0.0494,0.0035,0.0101
camp_36402299,Campaign 34 - Win-back,sms,sent,Subject line 34,Preview text here,hello@vahdam.com,VAHDAM India,2024-10-24 18:19:54,2024-10-24 18:19:54,2024-10-21 18:19:54,2024-10-24 18:19:54,6709,6507,1524,1295,217,173,25,125,5,12840.93,0.0121,0.2272,0.0323,0.0012,0.0136
camp_17795364,Campaign 35 - New Arrivals,email,sent,Subject line 35,Preview text here,hello@vahdam.com,VAHDAM India,2023-05-16 17:58:48,2023-05-16 17:58:48,2023-05-13 17:58:48,2023-05-16 17:58:48,6426,6233,1132,962,282,225,50,128,3,9302.9,0.0113,0.1762,0.0439,0.0022,0.0069
camp_82406883,Campaign 36 - New Arrivals,sms,sent,Subject line 36,Preview text here,hello@vahdam.com,VAHDAM India,2024-08-13 11:09:38,2024-08-13 11:09:38,2024-08-10 11:09:38,2024-08-13 11:09:38,17258,16740,4121,3502,561,448,31,160,3,538.75,0.0519,0.2388,0.0325,0.0035,0.0162
camp_76454501,Campaign 37 - Seasonal,sms,sent,Subject line 37,Preview text here,hello@vahdam.com,VAHDAM India,2024-06-11 14:28:38,2024-06-11 14:28:38,2024-06-08 14:28:38,2024-06-11 14:28:38,7659,7429,2190,1861,347,277,8,156,2,8398.81,0.0225,0.2859,0.0453,0.0032,0.0152
camp_22347724,Campaign 38 - New Arrivals,sms,sent,Subject line 38,Preview text here,hello@vahdam.com,VAHDAM India,2024-11-01 10:05:57,2024-11-01 10:05:57,2024-10-29 10:05:57,2024-11-01 10:05:57,38280,37131,10353,8800,1510,1208,37,189,2,13397.16,0.0484,0.2705,0.0394,0.0027,0.0076
camp_39958050,Campaign 39 - Welcome,email,sent,Subject line 39,Preview text here,hello@vahdam.com,VAHDAM India,2024-02-27 02:45:22,2024-02-27 02:45:22,2024-02-24 02:45:22,2024-02-27 02:45:22,36470,35375,8829,7504,2143,1714,23,115,3,6217.55,0.0464,0.2421,0.0588,0.0035,0.0076
camp_10146989,Campaign 40 - Flash Sale,email,sent,Subject line 40,Preview text here,hello@vahdam.com,VAHDAM India,2025-01-18 14:28:27,2025-01-18 14:28:27,2025-01-15 14:28:27,2025-01-18 14:28:27,38225,37078,11793,10024,2205,1764,18,22,4,12362.23,0.0509,0.3085,0.0577,0.0037,0.0193
camp_78027433,Campaign 41 - New Arrivals,sms,sent,Subject line 41,Preview text here,hello@vahdam.com,VAHDAM India,2023-02-19 08:58:20,2023-02-19 08:58:20,2023-02-16 08:58:20,2023-02-19 08:58:20,37007,35896,9755,8291,2371,1896,5,80,2,4240.58,0.0122,0.2636,0.0641,0.0023,0.0143
camp_56323925,Campaign 42 - Seasonal,sms,sent,Subject line 42,Preview text here,hello@vahdam.com,VAHDAM India,2023-06-14 13:10:11,2023-06-14 13:10:11,2023-06-11 13:10:11,2023-06-14 13:10:11,11555,11208,3215,2732,437,349,29,52,4,12839.53,0.0176,0.2782,0.0378,0.003,0.0142
camp_71305505,Campaign 43 - Flash Sale,email,sent,Subject line 43,Preview text here,hello@vahdam.com,VAHDAM India,2023-03-08 08:17:48,2023-03-08 08:17:48,2023-03-05 08:17:48,2023-03-08 08:17:48,24741,23998,3805,3234,649,519,50,89,5,3859.3,0.0429,0.1538,0.0262,0.0021,0.0093
camp_23892071,Campaign 44 - Welcome,email,sent,Subject line 44,Preview text here,hello@vahdam.com,VAHDAM India,2024-10-19 14:58:12,2024-10-19 14:58:12,2024-10-16 14:58:12,2024-10-19 14:58:12,23643,22933,7610,6468,1249,999,33,27,0,10208.2,0.0442,0.3219,0.0528,0.0044,0.0122
camp_70374711,Campaign 45 - Flash Sale,sms,sent,Subject line 45,Preview text here,hello@vahdam.com,VAHDAM India,2023-01-05 06:27:13,2023-01-05 06:27:13,2023-01-02 06:27:13,2023-01-05 06:27:13,27414,26591,6623,5629,1498,1198,31,90,1,14453.28,0.0483,0.2416,0.0546,0.0025,0.0174
camp_52478873,Campaign 46 - Flash Sale,sms,sent,Subject line 46,Preview text here,hello@vahdam.com,VAHDAM India,2024-07-03 22:35:38,2024-07-03 22:35:38,2024-06-30 22:35:38,2024-07-03 22:35:38,24076,23353,4160,3536,630,504,22,87,1,5654.5,0.0287,0.1728,0.0262,0.0028,0.0094
camp_26943763,Campaign 47 - Seasonal,email,sent,Subject line 47,Preview text here,hello@vahdam.com,VAHDAM India,2023-09-10 10:57:47,2023-09-10 10:57:47,2023-09-07 10:57:47,2023-09-10 10:57:47,32536,31559,10571,8985,1333,1066,20,106,3,7363.05,0.0558,0.3249,0.041,0.0011,0.0106
camp_68044513,Campaign 48 - Win-back,sms,sent,Subject line 48,Preview text here,hello@vahdam.com,VAHDAM India,2023-10-03 05:35:43,2023-10-03 05:35:43,2023-09-30 05:35:43,2023-10-03 05:35:43,32611,31632,7422,6308,1241,992,24,46,4,9000.65,0.0172,0.2276,0.0381,0.0047,0.017
camp_95864327,Campaign 49 - New Arrivals,email,sent,Subject line 49,Preview text here,hello@vahdam.com,VAHDAM India,2024-04-02 00:02:57,2024-04-02 00:02:57,2024-03-30 00:02:57,2024-04-02 00:02:57,21035,20403,3407,2895,361,288,49,84,5,4128.6,0.02,0.162,0.0172,0.005,0.0175
camp_24150592,Campaign 50 - Welcome,sms,sent,Subject line 50,Preview text here,hello@vahdam.com,VAHDAM India,2023-09-08 14:13:12,2023-09-08 14:13:12,2023-09-05 14:13:12,2023-09-08 14:13:12,36088,35005,8699,7394,1929,1543,24,24,3,11332.9,0.0599,0.241,0.0535,0.0049,0.0169
camp_65510357,Campaign 51 - Welcome,email,sent,Subject line 51,Preview text here,hello@vahdam.com,VAHDAM India,2024-04-02 01:50:02,2024-04-02 01:50:02,2024-03-30 01:50:02,2024-04-02 01:50:02,26206,25419,7943,6751,1058,846,17,15,3,5653.66,0.0481,0.3031,0.0404,0.0033,0.0123
camp_79256367,Campaign 52 - Flash Sale,email,sent,Subject line 52,Preview text here,hello@vahdam.com,VAHDAM India,2023-04-02 09:04:24,2023-04-02 09:04:24,2023-03-30 09:04:24,2023-04-02 09:04:24,39788,38594,8690,7386,2025,1620,27,167,5,3324.36,0.0354,0.2184,0.0509,0.003,0.01
camp_90955997,Campaign 53 - Win-back,email,sent,Subject line 53,Preview text here,hello@vahdam.com,VAHDAM India,2023-12-03 08:04:45,2023-12-03 08:04:45,2023-11-30 08:04:45,2023-12-03 08:04:45,27287,26468,6915,5877,1498,1198,15,149,2,874.16,0.0426,0.2534,0.0549,0.0029,0.018
camp_11409413,Campaign 54 - Seasonal,sms,sent,Subject line 54,Preview text here,hello@vahdam.com,VAHDAM India,2023-04-22 06:13:20,2023-04-22 06:13:20,2023-04-19 06:13:20,2023-04-22 06:13:20,26317,25527,8705,7399,1533,1226,25,67,4,12616.21,0.0534,0.3308,0.0583,0.0011,0.009
camp_43686724,Campaign 55 - Welcome,sms,sent,Subject line 55,Preview text here,hello@vahdam.com,VAHDAM India,2025-02-27 08:10:12,2025-02-27 08:10:12,2025-02-24 08:10:12,2025-02-27 08:10:12,9290,9011,2991,2542,489,391,9,180,2,1030.07,0.0299,0.322,0.0526,0.0022,0.0188
camp_25721886,Campaign 56 - Win-back,sms,sent,Subject line 56,Preview text here,hello@vahdam.com,VAHDAM India,2024-05-31 00:42:15,2024-05-31 00:42:15,2024-05-28 00:42:15,2024-05-31 00:42:15,13253,12855,4624,3930,1104,883,33,67,1,14378.54,0.054,0.3489,0.0833,0.0019,0.0195
camp_99485840,Campaign 57 - Flash Sale,sms,sent,Subject line 57,Preview text here,hello@vahdam.com,VAHDAM India,2024-05-26 09:07:11,2024-05-26 09:07:11,2024-05-23 09:07:11,2024-05-26 09:07:11,13263,12865,2969,2523,701,560,35,199,5,4275.76,0.0464,0.2239,0.0529,0.0035,0.017
camp_98048954,Campaign 58 - Win-back,sms,sent,Subject line 58,Preview text here,hello@vahdam.com,VAHDAM India,2023-03-16 15:02:26,2023-03-16 15:02:26,2023-03-13 15:02:26,2023-03-16 15:02:26,10355,10044,1753,1490,287,229,34,119,0,4119.61,0.0425,0.1693,0.0277,0.0026,0.0083
camp_14158604,Campaign 59 - Win-back,email,sent,Subject line 59,Preview text here,hello@vahdam.com,VAHDAM India,2024-06-12 20:47:32,2024-06-12 20:47:32,2024-06-09 20:47:32,2024-06-12 20:47:32,29019,28148,10042,8535,1653,1322,41,54,1,12987.48,0.049,0.346,0.057,0.0031,0.0176
camp_39958196,Campaign 60 - New Arrivals,email,sent,Subject line 60,Preview text here,hello@vahdam.com,VAHDAM India,2023-09-15 07:31:42,2023-09-15 07:31:42,2023-09-12 07:31:42,2023-09-15 07:31:42,22947,22258,3955,3361,523,418,5,180,1,8343.8,0.0341,0.1724,0.0228,0.0016,0.0164
