id,user_id,we_id,event_name,event_time,channel,platform,device_type,city,country,country_code,session_id,experiment_id,campaign_id,event_properties,line_items,revenue,currency
wev109009690070,we_cust2982979741,WE6999284338,Added To Cart,2025-03-29 07:45:59,web,web,tablet,Los Angeles,US,US,sess96716981,,,{},[],0.0,USD
wev359235497300,we_cust2479679716,WE6094998275,Checkout created,2024-10-09 17:49:03,android,web,tablet,New York,US,US,sess90221279,,,{},[],0.0,USD
wev133571418409,we_cust7628981661,WE7208203062,Homepage Viewed,2024-08-01 20:39:20,android,mobile,desktop,London,US,US,sess20111794,,,{},[],0.0,USD
wev145541299092,we_cust6566372886,WE3489930811,Product Searched,2025-01-18 12:57:57,ios,web,mobile,Los Angeles,US,US,sess22179380,,,{},[],0.0,USD
wev983923053237,we_cust3653594796,WE9852953327,Product Viewed,2024-02-01 19:17:36,ios,web,tablet,New York,US,US,sess38230524,,,{},[],0.0,USD
wev725708920590,we_cust7045593274,WE4425296365,Category Viewed,2025-03-23 18:13:30,ios,web,tablet,Los Angeles,US,US,sess28534454,,,{},[],0.0,USD
wev989205402316,we_cust4847761430,WE6776481655,Product Viewed,2024-05-10 09:36:00,web,web,tablet,London,US,US,sess82324524,,,{},[],0.0,USD
wev646918255877,we_cust6879428703,WE5247020736,Added To Cart,2025-02-12 03:48:25,web,mobile,mobile,Los Angeles,US,US,sess34920711,,,{},[],0.0,USD
wev747579633659,we_cust7590302909,WE9621350029,Product Searched,2024-04-11 17:41:13,web,web,tablet,London,US,US,sess74371016,,,{},[],0.0,USD
wev892612796523,we_cust3694860228,WE4038965227,Added To Cart,2024-02-14 23:45:30,android,web,mobile,London,US,US,sess89961643,,,{},[],0.0,USD
wev781492770705,we_cust5118430494,WE7590069112,Product Viewed,2024-08-15 05:41:25,android,mobile,mobile,Los Angeles,US,US,sess75914648,,,{},[],0.0,USD
wev156468007483,we_cust2168041588,WE4442506844,Product Searched,2024-11-23 21:33:09,ios,web,desktop,Los Angeles,US,US,sess63531903,,,{},[],0.0,USD
wev482642601527,we_cust9136780852,WE1081162159,Product Viewed,2025-02-26 05:51:48,ios,web,desktop,Los Angeles,US,US,sess25574335,,,{},[],0.0,USD
wev529291951206,we_cust5508149905,WE4171737088,Checkout created,2024-12-28 10:25:26,web,mobile,desktop,New York,US,US,sess58262227,,,{},[],0.0,USD
wev934680095870,we_cust6711463258,WE9341500231,Added To Cart,2024-12-05 09:35:50,email,mobile,desktop,London,US,US,sess54573274,,,{},[],0.0,USD
wev492606813384,we_cust1487258103,WE2520367330,Homepage Viewed,2024-11-13 21:30:29,email,mobile,mobile,London,US,US,sess71930836,,,{},[],0.0,USD
wev406215691690,we_cust3653594796,WE4847008654,Homepage Viewed,2024-03-29 10:01:35,android,web,desktop,London,US,US,sess46173655,,,{},[],0.0,USD
wev813906653790,we_cust7645527239,WE6519259323,Category Viewed,2024-01-04 10:07:46,web,web,tablet,New York,US,US,sess99620164,,,{},[],0.0,USD
wev710052759508,we_cust3109688769,WE8267848817,Homepage Viewed,2024-03-27 09:39:59,ios,web,desktop,Los Angeles,US,US,sess35004253,,,{},[],0.0,USD
wev870142913703,we_cust8625905455,WE6576585402,Product Viewed,2024-04-23 10:31:07,android,mobile,mobile,Los Angeles,US,US,sess94877145,,,{},[],0.0,USD
wev155259688717,we_cust6923206003,WE6181820859,Checkout created,2024-09-15 10:28:17,android,web,tablet,London,US,US,sess84151635,,,{},[],0.0,USD
wev567584601274,we_cust5578929439,WE5711104600,Product Viewed,2025-02-10 09:09:30,android,web,tablet,Los Angeles,US,US,sess21325830,,,{},[],0.0,USD
wev669919751905,we_cust2812140441,WE3356390169,Product Searched,2024-11-01 06:03:07,web,mobile,mobile,Los Angeles,US,US,sess90851570,,,{},[],0.0,USD
wev542207300320,we_cust1981049082,WE1986834130,Order created,2024-06-30 18:30:04,ios,web,desktop,New York,US,US,sess86125286,,,{},[],110.26,USD
wev970466009760,we_cust3316787198,WE3929614808,Order created,2024-03-02 02:13:14,email,mobile,tablet,New York,US,US,sess30662613,,,{},[],39.31,USD
wev338196651891,we_cust6711463258,WE3548176484,Product Viewed,2024-02-07 10:12:44,web,mobile,desktop,Los Angeles,US,US,sess14577740,,,{},[],0.0,USD
wev990010485697,we_cust7603978731,WE6359585067,Product Searched,2024-05-18 22:16:58,ios,mobile,desktop,New York,US,US,sess83826248,,,{},[],0.0,USD
wev607785280954,we_cust7664258343,WE5124392911,Homepage Viewed,2024-01-08 14:10:55,android,web,mobile,New York,US,US,sess84839834,,,{},[],0.0,USD
wev958247058757,we_cust2079501936,WE6281642720,Added To Cart,2024-10-06 23:00:39,email,mobile,tablet,Los Angeles,US,US,sess56936874,,,{},[],0.0,USD
wev189877730043,we_cust7666129822,WE6131347549,Added To Cart,2025-03-02 21:24:52,web,mobile,mobile,Los Angeles,US,US,sess72926685,,,{},[],0.0,USD
wev660937369127,we_cust9526836552,WE5540381797,Added To Cart,2024-03-21 01:10:50,email,web,mobile,New York,US,US,sess22849830,,,{},[],0.0,USD
wev274042470447,we_cust3102209245,WE1591574256,Checkout created,2025-02-16 00:13:57,email,mobile,tablet,London,US,US,sess60299936,,,{},[],0.0,USD
wev435889540791,we_cust9611537583,WE3285330591,Order created,2024-02-07 15:07:41,web,web,tablet,New York,US,US,sess76792716,,,{},[],70.77,USD
wev931920688659,we_cust8852676046,WE7832755725,Product Viewed,2025-01-06 08:47:17,email,mobile,tablet,London,US,US,sess46409276,,,{},[],0.0,USD
wev571844805845,we_cust2952996248,WE9813390272,Product Searched,2024-07-14 16:12:30,ios,web,desktop,New York,US,US,sess40062199,,,{},[],0.0,USD
wev730164020097,we_cust3097302637,WE6983123023,Product Viewed,2024-04-07 16:02:24,web,mobile,mobile,New York,US,US,sess79947772,,,{},[],0.0,USD
wev314478479323,we_cust5272119095,WE5292679133,Product Viewed,2024-02-09 00:11:05,email,mobile,desktop,London,US,US,sess12457360,,,{},[],0.0,USD
wev629317040083,we_cust9851745648,WE4244926457,Product Viewed,2025-01-21 05:31:54,email,mobile,mobile,London,US,US,sess69471037,,,{},[],0.0,USD
wev528547435604,we_cust9621419224,WE2418292771,Checkout created,2024-07-05 18:09:38,email,mobile,tablet,London,US,US,sess69265766,,,{},[],0.0,USD
wev426803973504,we_cust9776185998,WE5501973608,Order created,2024-06-18 10:45:08,web,web,tablet,New York,US,US,sess26909038,,,{},[],43.28,USD
wev735793136722,we_cust3987248494,WE7146895941,Product Viewed,2024-07-27 11:18:13,web,mobile,desktop,Los Angeles,US,US,sess51713650,,,{},[],0.0,USD
wev177695856818,we_cust4022360089,WE8056007988,Product Viewed,2024-04-14 06:30:47,android,web,mobile,London,US,US,sess65559789,,,{},[],0.0,USD
wev881361305884,we_cust2139078760,WE4101837259,Product Viewed,2024-02-23 12:54:24,ios,mobile,desktop,New York,US,US,sess61715843,,,{},[],0.0,USD
wev918583928807,we_cust7958672456,WE5212537801,Product Viewed,2024-11-12 13:25:20,android,web,desktop,New York,US,US,sess54287852,,,{},[],0.0,USD
wev327947437876,we_cust9516893896,WE6090335180,Homepage Viewed,2024-12-22 01:31:55,web,mobile,mobile,Los Angeles,US,US,sess96679446,,,{},[],0.0,USD
wev666238529696,we_cust9376277483,WE9198395764,Category Viewed,2024-09-23 04:09:08,web,web,desktop,Los Angeles,US,US,sess32396307,,,{},[],0.0,USD
wev780062071572,we_cust7389111087,WE3148477769,Homepage Viewed,2025-02-08 06:57:11,email,mobile,desktop,London,US,US,sess33981282,,,{},[],0.0,USD
wev823019943947,we_cust8706093841,WE5903671892,Product Searched,2025-02-14 03:05:10,web,mobile,tablet,New York,US,US,sess60222260,,,{},[],0.0,USD
wev227716034335,we_cust6488854841,WE4480038294,Checkout created,2024-08-20 14:43:21,android,mobile,tablet,Los Angeles,US,US,sess28750002,,,{},[],0.0,USD
wev855555441941,we_cust8236980551,WE5465140763,Added To Cart,2024-01-20 08:05:08,web,web,mobile,London,US,US,sess11902562,,,{},[],0.0,USD
wev332350114835,we_cust5935852056,WE4406021113,Order created,2024-02-16 17:06:10,ios,mobile,mobile,Los Angeles,US,US,sess85365414,,,{},[],47.48,USD
wev701493608449,we_cust3074232200,WE4000003369,Added To Cart,2024-07-21 12:22:23,ios,web,desktop,London,US,US,sess35404317,,,{},[],0.0,USD
wev417127750102,we_cust7467073633,WE3547472178,Product Viewed,2024-02-17 21:31:47,android,mobile,mobile,London,US,US,sess39849453,,,{},[],0.0,USD
wev616687878181,we_cust7369118672,WE7046611223,Product Viewed,2024-06-29 05:09:17,email,mobile,desktop,London,US,US,sess78425529,,,{},[],0.0,USD
wev753937271518,we_cust1572827654,WE1963186447,Homepage Viewed,2024-08-09 07:39:34,ios,mobile,mobile,Los Angeles,US,US,sess64950708,,,{},[],0.0,USD
wev218031834320,we_cust9986353481,WE1496168495,Product Viewed,2024-01-06 23:30:54,email,mobile,tablet,London,US,US,sess60882898,,,{},[],0.0,USD
wev322655725007,we_cust3980491761,WE9837670483,Product Searched,2024-02-12 10:47:51,ios,web,tablet,New York,US,US,sess95979883,,,{},[],0.0,USD
wev846190268703,we_cust5877639950,WE8779485748,Checkout created,2024-10-02 00:47:01,email,web,mobile,New York,US,US,sess85513762,,,{},[],0.0,USD
wev252190502712,we_cust9953716239,WE4545563886,Product Viewed,2025-03-27 21:02:25,web,mobile,desktop,New York,US,US,sess33081148,,,{},[],0.0,USD
wev418633338178,we_cust7561728644,WE4409117759,Homepage Viewed,2024-04-27 19:06:20,android,mobile,mobile,London,US,US,sess27511115,,,{},[],0.0,USD
wev558772909195,we_cust3106408413,WE5785096204,Product Searched,2025-01-30 12:54:28,ios,web,tablet,Los Angeles,US,US,sess60656106,,,{},[],0.0,USD
wev780507274168,we_cust4579265601,WE4927733429,Order created,2024-07-04 00:34:22,email,mobile,desktop,New York,US,US,sess93359704,,,{},[],32.16,USD
wev753467637048,we_cust1834624758,WE2422555860,Category Viewed,2024-02-18 00:30:16,ios,web,tablet,London,US,US,sess44037123,,,{},[],0.0,USD
wev753968888099,we_cust3106408413,WE6519844803,Homepage Viewed,2024-02-19 06:07:19,email,mobile,tablet,New York,US,US,sess61345346,,,{},[],0.0,USD
wev377544002041,we_cust7420493866,WE2802558056,Category Viewed,2024-11-11 11:35:07,ios,web,tablet,New York,US,US,sess50967314,,,{},[],0.0,USD
wev104176696286,we_cust1659663750,WE7110891038,Order created,2024-01-27 05:46:35,android,web,desktop,London,US,US,sess61130739,,,{},[],127.27,USD
wev185954043033,we_cust6069848439,WE5027966145,Product Viewed,2025-01-24 21:02:59,email,mobile,tablet,Los Angeles,US,US,sess20740324,,,{},[],0.0,USD
wev626063423448,we_cust4034047118,WE3505223432,Product Viewed,2024-05-23 14:07:58,email,mobile,desktop,London,US,US,sess29233962,,,{},[],0.0,USD
wev642668721629,we_cust3095318649,WE5780290557,Product Viewed,2024-01-12 22:38:49,android,mobile,tablet,London,US,US,sess17849588,,,{},[],0.0,USD
wev714957921476,we_cust8293453178,WE9772478192,Checkout created,2024-07-07 15:38:15,android,mobile,desktop,New York,US,US,sess34295074,,,{},[],0.0,USD
wev722209190951,we_cust9771848610,WE5109241166,Product Viewed,2024-01-07 23:42:18,android,mobile,desktop,London,US,US,sess93438661,,,{},[],0.0,USD
wev977225647586,we_cust9343730920,WE8633702836,Category Viewed,2024-10-17 00:11:37,android,mobile,mobile,New York,US,US,sess96601119,,,{},[],0.0,USD
wev981649213228,we_cust7465834732,WE9800240771,Product Viewed,2024-01-11 23:07:27,android,mobile,desktop,New York,US,US,sess33828801,,,{},[],0.0,USD
wev270069888593,we_cust5972484792,WE7725391814,Product Viewed,2024-04-23 06:37:45,web,mobile,mobile,Los Angeles,US,US,sess98611540,,,{},[],0.0,USD
wev965430858317,we_cust2653032484,WE8709131219,Product Searched,2025-03-18 15:10:21,web,web,mobile,London,US,US,sess35248502,,,{},[],0.0,USD
wev123875719378,we_cust6336171726,WE7392538316,Added To Cart,2024-06-11 07:25:32,web,mobile,mobile,London,US,US,sess61131132,,,{},[],0.0,USD
wev413253473401,we_cust9470922075,WE7983966959,Category Viewed,2024-06-26 19:13:49,ios,web,tablet,Los Angeles,US,US,sess56675251,,,{},[],0.0,USD
wev207040918190,we_cust2014766981,WE2027530635,Checkout created,2025-03-26 06:47:17,web,web,mobile,London,US,US,sess94577294,,,{},[],0.0,USD
wev419765533645,we_cust2445662585,WE6528368649,Product Viewed,2025-02-13 13:21:11,ios,mobile,mobile,New York,US,US,sess43503398,,,{},[],0.0,USD
wev977601776164,we_cust1600566083,WE4938956432,Checkout created,2024-08-01 21:39:02,android,web,mobile,London,US,US,sess25132823,,,{},[],0.0,USD
wev209476107697,we_cust9155819200,WE5374090418,Added To Cart,2024-06-11 14:17:27,web,web,tablet,London,US,US,sess95398125,,,{},[],0.0,USD
wev928718830025,we_cust8625774078,WE7184349175,Added To Cart,2025-02-23 08:45:31,web,mobile,tablet,Los Angeles,US,US,sess89730729,,,{},[],0.0,USD
wev436060352654,we_cust4558302256,WE1530805092,Product Viewed,2024-11-17 13:22:04,android,mobile,tablet,London,US,US,sess13939955,,,{},[],0.0,USD
wev857815553057,we_cust2699887270,WE7772717009,Product Viewed,2024-09-06 18:01:56,ios,web,desktop,New York,US,US,sess98146655,,,{},[],0.0,USD
wev518835179920,we_cust2079770569,WE3344964258,Order created,2025-01-31 13:52:05,ios,mobile,desktop,London,US,US,sess80517576,,,{},[],147.81,USD
wev951021417883,we_cust2503068227,WE5514497971,Order created,2025-03-13 09:01:45,ios,mobile,desktop,London,US,US,sess57500263,,,{},[],54.42,USD
wev269366171932,we_cust2149938334,WE5757169094,Checkout created,2024-08-20 00:10:05,ios,web,tablet,Los Angeles,US,US,sess31691963,,,{},[],0.0,USD
wev480593799743,we_cust7536876169,WE7990414265,Homepage Viewed,2024-08-25 14:26:27,email,mobile,tablet,London,US,US,sess58589079,,,{},[],0.0,USD
wev822597910992,we_cust2973888646,WE4520074541,Product Searched,2024-01-26 13:53:55,email,mobile,mobile,Los Angeles,US,US,sess81939374,,,{},[],0.0,USD
wev212199310992,we_cust3127657643,WE8869768209,Category Viewed,2024-08-13 17:18:48,android,web,tablet,London,US,US,sess11969139,,,{},[],0.0,USD
wev556904611813,we_cust9858643842,WE2163777459,Homepage Viewed,2024-07-21 22:59:51,android,mobile,desktop,New York,US,US,sess72788100,,,{},[],0.0,USD
wev347595585195,we_cust6156843353,WE5661009592,Added To Cart,2024-05-29 17:44:48,ios,web,desktop,New York,US,US,sess83453528,,,{},[],0.0,USD
wev734907954139,we_cust3365835550,WE1457068468,Checkout created,2024-11-02 14:25:33,email,web,mobile,New York,US,US,sess96078620,,,{},[],0.0,USD
wev317144784524,we_cust7371573279,WE2715330704,Order created,2024-01-10 21:12:04,ios,mobile,tablet,New York,US,US,sess17642232,,,{},[],138.4,USD
wev322762122396,we_cust9263135031,WE7893463893,Homepage Viewed,2025-01-23 14:27:29,email,mobile,mobile,London,US,US,sess66462766,,,{},[],0.0,USD
wev110612813015,we_cust7316122432,WE5531998226,Checkout created,2024-06-06 03:43:42,ios,web,tablet,London,US,US,sess30394325,,,{},[],0.0,USD
wev982226859578,we_cust5092199300,WE5312337024,Product Viewed,2024-11-20 19:49:34,email,mobile,tablet,London,US,US,sess36063859,,,{},[],0.0,USD
wev451542503280,we_cust2905584866,WE9255112403,Checkout created,2024-10-03 15:54:38,ios,mobile,mobile,Los Angeles,US,US,sess19080903,,,{},[],0.0,USD
wev462795845334,we_cust3316277000,WE5404259438,Checkout created,2024-09-10 00:43:30,web,mobile,tablet,London,US,US,sess76818956,,,{},[],0.0,USD
wev287728979194,we_cust6470052645,WE1687682903,Product Viewed,2024-08-26 07:19:41,ios,web,tablet,London,US,US,sess87991535,,,{},[],0.0,USD
wev440163624804,we_cust4239406957,WE5245363618,Product Searched,2025-03-13 17:42:40,web,mobile,mobile,Los Angeles,US,US,sess85978704,,,{},[],0.0,USD
wev103243384760,we_cust3799620568,WE3508643814,Checkout created,2024-03-20 05:50:50,ios,web,mobile,Los Angeles,US,US,sess49157984,,,{},[],0.0,USD
wev422015233827,we_cust5141593270,WE3302499988,Product Viewed,2024-07-15 04:00:46,web,web,tablet,New York,US,US,sess51092777,,,{},[],0.0,USD
wev628334946569,we_cust1121863227,WE1505477257,Added To Cart,2024-10-17 16:59:51,android,web,mobile,Los Angeles,US,US,sess64910246,,,{},[],0.0,USD
wev462940997473,we_cust8291250562,WE7976120619,Added To Cart,2024-08-01 08:09:28,ios,mobile,mobile,Los Angeles,US,US,sess97368386,,,{},[],0.0,USD
wev477835563511,we_cust9249923427,WE9471487388,Homepage Viewed,2024-09-16 20:12:59,web,mobile,mobile,London,US,US,sess47134148,,,{},[],0.0,USD
wev146944091583,we_cust6092773357,WE7492398611,Product Searched,2024-10-14 21:27:18,web,mobile,mobile,Los Angeles,US,US,sess62229784,,,{},[],0.0,USD
wev345483839736,we_cust1515024824,WE6772040244,Homepage Viewed,2024-02-09 16:44:01,ios,mobile,desktop,Los Angeles,US,US,sess12013073,,,{},[],0.0,USD
wev578420652688,we_cust7074050517,WE9855040414,Category Viewed,2025-03-04 08:54:44,ios,web,tablet,London,US,US,sess40353265,,,{},[],0.0,USD
wev231098634418,we_cust8318855178,WE7524514760,Product Viewed,2024-05-20 15:29:19,android,web,mobile,Los Angeles,US,US,sess90188632,,,{},[],0.0,USD
wev710724583959,we_cust3894673596,WE9799273618,Added To Cart,2024-02-14 15:52:55,email,web,tablet,Los Angeles,US,US,sess93023170,,,{},[],0.0,USD
wev871446386448,we_cust8055556030,WE7801418420,Homepage Viewed,2025-01-28 04:08:33,web,web,mobile,New York,US,US,sess78271217,,,{},[],0.0,USD
wev733827291930,we_cust7371573279,WE9253437537,Product Viewed,2025-02-19 19:51:04,android,web,tablet,New York,US,US,sess97952355,,,{},[],0.0,USD
wev959302289300,we_cust6795522649,WE6379830057,Added To Cart,2024-02-28 13:08:51,android,mobile,tablet,London,US,US,sess34186927,,,{},[],0.0,USD
wev356035633160,we_cust6340003593,WE3768580123,Homepage Viewed,2025-01-26 19:29:19,web,mobile,tablet,Los Angeles,US,US,sess32341397,,,{},[],0.0,USD
